name,price,price_change,price_percent_change,volume
Tivic Health Systems Inc. (TIVC),7.44,3.94,112.57,29300000.0
Oblong Inc. (OBLG),2.94,0.8,37.38,14200000.0
Agenus Inc. (AGEN),3.02,0.71,30.74,1100000.0
VCI Global Ltd. (VCIG),3.55,0.71,25.0,631500.0
Safe Pro Group Inc. (SPAI),3.33,0.63,23.33,111200.0
Bitdeer Technologies Group (BTDR),9.25,1.65,21.71,3700000.0
NovaGold Resources Inc. (NG),3.78,0.67,21.38,6900000.0
Portage Biotech Inc. (PRTG),11.0,1.91,21.01,263400.0
Hertz Global Holdings Inc. (HTZ),9.32,1.49,19.03,34400000.0
WiMi Hologram Cloud Inc. Cl B (WIMI),5.35,0.85,18.89,858600.0
AgapeATP Corp. (ATPC),2.46,0.39,18.6,411800.0
Cipher Mining Inc. (CIFR),2.78,0.43,18.59,12400000.0
TeraWulf Inc. (WULF),2.66,0.41,18.27,31100000.0
908 Devices Inc. (MASS),5.67,0.87,18.1,884600.0
60 Degrees Pharmaceuticals Inc. (SXTP),3.73,0.57,18.04,1400000.0
Hesai Group ADR (HSAI),13.7,2.09,18.0,4400000.0
Knightscope Inc. (KSCP),5.4,0.78,16.88,479800.0
Gauzy Ltd. (GAUZ),10.44,1.45,16.07,108500.0
LogProstyle Inc. (LGPS),4.0,0.55,15.98,55100.0
CleanSpark Inc. (CLSK),8.64,1.17,15.68,19900000.0
BriaCell Therapeutics Corp. (BCTX),4.83,0.64,15.27,221000.0
Amylyx Pharmaceuticals Inc. (AMLX),4.87,0.64,15.13,580200.0
Oncology Institute Inc. (TOI),2.74,0.35,14.64,1200000.0
BTC Digital Ltd. (BTCT),3.83,0.48,14.33,458100.0
Equifax Inc. (EFX),244.3,29.01,13.48,602300.0
Femto Technologies Inc. (FMTO),6.8,0.8,13.33,1900000.0
Antelope Enterprise Holdings Ltd. (AEHL),2.92,0.34,13.18,184400.0
Riot Platforms Inc. (RIOT),7.08,0.8,12.64,15700000.0
HUTCHMED (China) Ltd. ADR (HCM),15.64,1.75,12.6,59000.0
CuriosityStream Inc. (CURI),3.43,0.38,12.46,174600.0
Regulus Therapeutics Inc. (RGLS),2.26,0.25,12.44,242200.0
Webull Corp. Cl A (BULL),27.6,2.98,12.1,6400000.0
Root Inc. Cl A (ROOT),132.34,13.95,11.78,205500.0
First Solar Inc. (FSLR),136.78,14.33,11.7,4500000.0
Coya Therapeutics Inc. (COYA),6.37,0.66,11.56,69400.0
Semler Scientific Inc. (SMLR),33.26,3.44,11.52,145900.0
Eason Technology Ltd. ADR (DXF),7.85,0.8,11.35,77400.0
Full House Resorts Inc. (FLL),3.25,0.33,11.3,72400.0
ThredUp Inc. Cl A (TDUP),3.72,0.38,11.23,704300.0
PureCycle Technologies Inc. (PCT),6.18,0.62,11.14,2100000.0
MARA Holdings Inc. (MARA),13.63,1.34,10.9,31400000.0
Nukkleus Inc. (NUKK),14.18,1.36,10.66,118800.0
Hut 8 Corp. (HUT),11.77,1.13,10.62,3700000.0
Capricor Therapeutics Inc. (CAPR),13.18,1.26,10.57,856400.0
Carvana Co. Cl A (CVNA),216.4,20.57,10.5,1900000.0
Calix Inc. (CALX),36.7,3.44,10.36,1100000.0
Frequency Electronics Inc. (FEIM),18.27,1.7,10.26,50600.0
Newsmax Inc. Cl B (NMAX),23.91,2.18,10.03,1600000.0
Mingteng International Corp. Inc. (MTEN),6.7,0.6,9.84,72000.0
IREN Ltd. (IREN),6.05,0.54,9.81,10300000.0
Piedmont Lithium Inc. (PLL),7.43,0.66,9.75,149600.0
Ameresco Inc. Cl A (AMRC),9.5,0.84,9.7,248700.0
SolarEdge Technologies Inc. (SEDG),13.27,1.17,9.67,2300000.0
REGENXBIO Inc. (RGNX),7.31,0.64,9.6,464500.0
Verastem Inc. (VSTM),6.8,0.58,9.42,398700.0
SunOpta Inc. (STKL),4.06,0.34,9.3,267400.0
Metsera Inc. (MTSR),21.32,1.8,9.25,384500.0
PagSeguro Digital Ltd. Cl A (PAGS),9.24,0.78,9.15,2500000.0
INVESCO Ltd. (IVZ),13.6,1.14,9.11,3700000.0
Sportradar Group AG Cl A (SRAD),25.1,2.09,9.09,1300000.0
Bausch Health Cos. Inc. (BHC),5.15,0.43,9.03,1700000.0
Solid Biosciences Inc. (SLDB),3.3,0.27,8.75,1100000.0
Atkore Inc. (ATKR),61.65,4.92,8.67,213700.0
CoreWeave Inc. Cl A (CRWV),38.47,3.06,8.63,4200000.0
MBX Biosciences Inc. (MBX),8.3,0.66,8.57,97900.0
Evotec SE ADR (EVO),3.88,0.3,8.52,162200.0
Sleep Number Corp. (SNBR),5.77,0.45,8.48,192100.0
Creative Media & Community Trust Corp. (CMCT),4.51,0.35,8.48,868100.0
Phunware Inc. (PHUN),2.73,0.21,8.44,103200.0
Ares Commercial Real Estate Corp. (ACRE),3.86,0.3,8.43,268500.0
QuantaSing Group Ltd. ADR (QSG),4.21,0.33,8.39,164100.0
INmune Bio Inc. (INMB),7.89,0.61,8.38,147900.0
MicroCloud Hologram Inc. (HOLO),13.22,1.02,8.36,3800000.0
NuScale Power Corp. (SMR),14.78,1.14,8.36,1900000.0
Pentair PLC (PNR),85.54,6.58,8.33,814700.0
Bicycle Therapeutics Ltd. ADR (BCYC),8.13,0.62,8.26,177400.0
MicroStrategy Inc. (MSTR),343.35,25.59,8.05,12300000.0
Zai Lab Ltd. ADR (ZLAB),32.1,2.39,8.04,418800.0
Dingdong (Cayman) Ltd. ADR (DDL),2.5,0.18,8.01,611500.0
Coinbase Global Inc. (COIN),188.97,13.97,7.98,5100000.0
Xometry Inc. Cl A (XMTR),23.95,1.77,7.98,212400.0
Verve Therapeutics Inc. (VERV),5.16,0.38,7.95,1600000.0
RH (RH),168.16,12.37,7.94,777500.0
BeiGene Ltd. ADR (ONC),247.36,18.14,7.92,277400.0
Galecto Inc. (GLTO),2.61,0.19,7.85,67300.0
Summit Therapeutics Inc. (SMMT),27.2,1.98,7.83,1600000.0
Lightbridge Corp. (LTBR),7.66,0.56,7.83,404500.0
PulteGroup Inc. (PHM),100.35,7.24,7.78,755300.0
Quest Diagnostics Inc. (DGX),174.43,12.57,7.77,558400.0
GRAIL Inc. (GRAL),28.45,2.03,7.67,438200.0
Zhengye Biotechnology Holding Ltd. (ZYBT),8.29,0.59,7.66,543200.0
FTAI Infrastructure Inc. (FIP),3.74,0.27,7.61,386000.0
Porch Group Inc. (PRCH),5.01,0.35,7.51,741600.0
Lifevantage Corp. (LFVN),13.3,0.92,7.43,52000.0
Global Mofy AI Ltd. (GMM),2.17,0.15,7.42,63200.0
Sezzle Inc. (SEZL),41.45,2.86,7.41,208700.0
Kodiak Sciences Inc. (KOD),3.49,0.24,7.38,252600.0
Core Scientific Inc. (CORZ),6.86,0.47,7.36,4400000.0
Personalis Inc. (PSNL),3.39,0.23,7.28,190300.0
Trinseo PLC (TSE),3.32,0.23,7.26,114800.0
