name,price,price_change,price_percent_change,volume
Capricor Therapeutics Inc. (CAPR),13.3,1.38,11.58,849400.0
First Solar Inc. (FSLR),136.57,14.12,11.53,4500000.0
Semler Scientific Inc. (SMLR),33.26,3.42,11.48,142300.0
Eason Technology Ltd. ADR (DXF),7.85,0.8,11.35,75600.0
Root Inc. Cl A (ROOT),131.65,13.26,11.2,200700.0
MARA Holdings Inc. (MARA),13.66,1.37,11.15,30600000.0
Nukkleus Inc. (NUKK),14.18,1.36,10.66,118600.0
Hut 8 Corp. (HUT),11.77,1.13,10.62,3600000.0
Newsmax Inc. Cl B (NMAX),24.01,2.28,10.49,1600000.0
IREN Ltd. (IREN),6.08,0.57,10.44,10100000.0
Carvana Co. Cl A (CVNA),216.21,20.38,10.41,1900000.0
Calix Inc. (CALX),36.67,3.42,10.29,1100000.0
REGENXBIO Inc. (RGNX),7.35,0.68,10.19,444600.0
Metsera Inc. (MTSR),21.48,1.97,10.07,374600.0
Mingteng International Corp. Inc. (MTEN),6.7,0.6,9.84,69100.0
MicroCloud Hologram Inc. (HOLO),13.39,1.19,9.75,3700000.0
Piedmont Lithium Inc. (PLL),7.43,0.66,9.75,147900.0
Verastem Inc. (VSTM),6.82,0.6,9.74,385100.0
ThredUp Inc. Cl A (TDUP),3.66,0.32,9.58,676500.0
Bausch Health Cos. Inc. (BHC),5.16,0.45,9.43,1700000.0
Ameresco Inc. Cl A (AMRC),9.48,0.81,9.41,243000.0
Solid Biosciences Inc. (SLDB),3.32,0.28,9.41,1000000.0
SolarEdge Technologies Inc. (SEDG),13.23,1.13,9.34,2200000.0
INVESCO Ltd. (IVZ),13.61,1.15,9.22,3600000.0
Sportradar Group AG Cl A (SRAD),25.13,2.12,9.21,1200000.0
PagSeguro Digital Ltd. Cl A (PAGS),9.24,0.77,9.03,2500000.0
Atkore Inc. (ATKR),61.78,5.05,8.9,211100.0
SunOpta Inc. (STKL),4.04,0.33,8.89,264600.0
Dingdong (Cayman) Ltd. ADR (DDL),2.51,0.2,8.66,598300.0
Ares Commercial Real Estate Corp. (ACRE),3.86,0.3,8.57,264300.0
Pentair PLC (PNR),85.7,6.74,8.54,790900.0
Evotec SE ADR (EVO),3.88,0.3,8.52,158800.0
MicroStrategy Inc. (MSTR),344.78,27.02,8.5,12100000.0
Sleep Number Corp. (SNBR),5.77,0.45,8.46,173800.0
QuantaSing Group Ltd. ADR (QSG),4.21,0.33,8.39,162700.0
Coinbase Global Inc. (COIN),189.54,14.54,8.31,5000000.0
GRAIL Inc. (GRAL),28.61,2.19,8.28,423100.0
Auddia Inc. (AUUD),3.53,0.27,8.28,449900.0
Phunware Inc. (PHUN),2.73,0.21,8.27,100900.0
Lightbridge Corp. (LTBR),7.68,0.58,8.17,400500.0
Bicycle Therapeutics Ltd. ADR (BCYC),8.12,0.61,8.12,175400.0
MBX Biosciences Inc. (MBX),8.26,0.62,8.12,93900.0
Xometry Inc. Cl A (XMTR),23.96,1.78,8.05,208300.0
Summit Therapeutics Inc. (SMMT),27.25,2.03,8.04,1600000.0
BeiGene Ltd. ADR (ONC),247.59,18.37,8.01,266500.0
RH (RH),168.27,12.48,8.01,760700.0
Kodiak Sciences Inc. (KOD),3.51,0.26,8.0,251300.0
Zai Lab Ltd. ADR (ZLAB),32.08,2.37,7.98,412300.0
GeneDx Holdings Corp. (WGS),98.2,7.16,7.86,247900.0
Galecto Inc. (GLTO),2.61,0.19,7.85,68100.0
NuScale Power Corp. (SMR),14.71,1.07,7.84,1900000.0
INmune Bio Inc. (INMB),7.85,0.57,7.83,146500.0
Quest Diagnostics Inc. (DGX),174.49,12.63,7.8,546400.0
FTAI Infrastructure Inc. (FIP),3.75,0.27,7.76,383700.0
Personalis Inc. (PSNL),3.4,0.24,7.75,168800.0
CoreWeave Inc. Cl A (CRWV),38.11,2.69,7.61,4200000.0
PulteGroup Inc. (PHM),100.18,7.07,7.59,736800.0
Core Scientific Inc. (CORZ),6.88,0.48,7.59,4200000.0
Cathay General Bancorp (CATY),41.51,2.91,7.54,214100.0
Lifevantage Corp. (LFVN),13.3,0.92,7.43,51700.0
Sezzle Inc. (SEZL),41.44,2.85,7.38,202300.0
Porch Group Inc. (PRCH),5.0,0.34,7.3,727800.0
Zhengye Biotechnology Holding Ltd. (ZYBT),8.26,0.56,7.27,523799.99999999994
Trinseo PLC (TSE),3.32,0.23,7.26,113800.0
