name,price,price_change,price_percent_change,volume
Tivic Health Systems Inc. (TIVC),7.36,3.86,110.41,29100000.0
Oblong Inc. (OBLG),2.87,0.73,34.11,14100000.0
Agenus Inc. (AGEN),2.94,0.63,27.35,961200.0
VCI Global Ltd. (VCIG),3.52,0.68,24.09,621600.0
Safe Pro Group Inc. (SPAI),3.32,0.62,22.96,121600.0
Bitdeer Technologies Group (BTDR),9.24,1.64,21.58,3600000.0
Portage Biotech Inc. (PRTG),10.94,1.85,20.39,260100.00000000003
NovaGold Resources Inc. (NG),3.74,0.63,20.18,6800000.0
Antelope Enterprise Holdings Ltd. (AEHL),3.1,0.52,20.16,178900.0
Knightscope Inc. (KSCP),5.54,0.92,19.91,468900.0
908 Devices Inc. (MASS),5.72,0.92,19.06,861600.0
AgapeATP Corp. (ATPC),2.46,0.39,18.84,410300.0
60 Degrees Pharmaceuticals Inc. (SXTP),3.74,0.58,18.35,1400000.0
TeraWulf Inc. (WULF),2.66,0.41,18.22,30100000.0
Hertz Global Holdings Inc. (HTZ),9.24,1.41,17.94,33299999.999999996
Cipher Mining Inc. (CIFR),2.76,0.41,17.74,12100000.0
Creative Media & Community Trust Corp. (CMCT),4.89,0.73,17.55,852500.0
Hesai Group ADR (HSAI),13.56,1.95,16.8,4200000.0
CleanSpark Inc. (CLSK),8.67,1.2,16.06,19400000.0
Gauzy Ltd. (GAUZ),10.39,1.4,15.57,106200.0
WiMi Hologram Cloud Inc. Cl B (WIMI),5.2,0.7,15.56,806100.0
Amylyx Pharmaceuticals Inc. (AMLX),4.86,0.64,15.01,573200.0
LogProstyle Inc. (LGPS),3.95,0.5,14.49,54600.0
Oncology Institute Inc. (TOI),2.72,0.33,13.82,1200000.0
BriaCell Therapeutics Corp. (BCTX),4.75,0.56,13.37,219300.0
Equifax Inc. (EFX),243.8,28.5,13.24,595600.0
HUTCHMED (China) Ltd. ADR (HCM),15.68,1.79,12.89,58400.0
CuriosityStream Inc. (CURI),3.44,0.39,12.62,172700.0
Webull Corp. Cl A (BULL),27.73,3.11,12.62,6300000.0
Riot Platforms Inc. (RIOT),7.08,0.79,12.56,15100000.0
Femto Technologies Inc. (FMTO),6.75,0.75,12.5,1900000.0
BTC Digital Ltd. (BTCT),3.76,0.41,12.24,450100.0
Regulus Therapeutics Inc. (RGLS),2.25,0.24,11.94,231900.0
Coya Therapeutics Inc. (COYA),6.38,0.67,11.73,70700.0
Full House Resorts Inc. (FLL),3.26,0.34,11.64,71800.0
PureCycle Technologies Inc. (PCT),6.21,0.65,11.59,2100000.0
