name,price,price_change,price_percent_change,volume
Tivic Health Systems Inc. (TIVC),7.39,3.89,111.14,29300000.0
Oblong Inc. (OBLG),2.92,0.79,36.68,14300000.0
Agenus Inc. (AGEN),3.03,0.72,31.17,1200000.0
VCI Global Ltd. (VCIG),3.59,0.75,26.55,657300.0
Safe Pro Group Inc. (SPAI),3.4,0.7,25.91,117400.0
Bitdeer Technologies Group (BTDR),9.36,1.76,23.16,3800000.0
NovaGold Resources Inc. (NG),3.8,0.69,22.35,7000000.0
Portage Biotech Inc. (PRTG),11.0,1.91,21.01,266800.0
60 Degrees Pharmaceuticals Inc. (SXTP),3.77,0.61,19.3,1400000.0
Hertz Global Holdings Inc. (HTZ),9.31,1.48,18.9,34700000.0
TeraWulf Inc. (WULF),2.68,0.42,18.89,31500000.0
WiMi Hologram Cloud Inc. Cl B (WIMI),5.35,0.85,18.84,872900.0
AgapeATP Corp. (ATPC),2.46,0.39,18.6,414100.0
Cipher Mining Inc. (CIFR),2.77,0.43,18.42,12500000.0
908 Devices Inc. (MASS),5.68,0.88,18.41,883900.0
Hesai Group ADR (HSAI),13.68,2.07,17.83,4500000.0
Femto Technologies Inc. (FMTO),6.97,0.97,16.13,1900000.0
CleanSpark Inc. (CLSK),8.66,1.2,16.0,20300000.0
LogProstyle Inc. (LGPS),4.0,0.55,15.98,55100.0
Knightscope Inc. (KSCP),5.36,0.73,15.91,484200.0
Gauzy Ltd. (GAUZ),10.37,1.38,15.35,108300.0
BriaCell Therapeutics Corp. (BCTX),4.8,0.61,14.56,226200.0
BTC Digital Ltd. (BTCT),3.83,0.48,14.33,461000.0
Oncology Institute Inc. (TOI),2.72,0.33,13.81,1300000.0
Amylyx Pharmaceuticals Inc. (AMLX),4.8,0.57,13.59,590600.0
Eason Technology Ltd. ADR (DXF),8.0,0.95,13.48,77700.0
Equifax Inc. (EFX),244.23,28.94,13.44,611300.0
Riot Platforms Inc. (RIOT),7.08,0.8,12.64,15900000.0
HUTCHMED (China) Ltd. ADR (HCM),15.64,1.75,12.56,59700.0
Creative Media & Community Trust Corp. (CMCT),4.68,0.52,12.5,876800.0
First Solar Inc. (FSLR),137.32,14.87,12.14,4500000.0
CuriosityStream Inc. (CURI),3.42,0.37,12.13,177000.0
Antelope Enterprise Holdings Ltd. (AEHL),2.88,0.3,11.63,191100.0
Root Inc. Cl A (ROOT),132.1,13.71,11.58,206200.0
Semler Scientific Inc. (SMLR),33.28,3.45,11.57,147700.0
Coya Therapeutics Inc. (COYA),6.37,0.66,11.56,80300.0
Regulus Therapeutics Inc. (RGLS),2.24,0.23,11.44,251600.0
Capricor Therapeutics Inc. (CAPR),13.28,1.36,11.41,862500.0
ThredUp Inc. Cl A (TDUP),3.71,0.37,11.08,722600.0
PureCycle Technologies Inc. (PCT),6.18,0.61,10.96,2100000.0
MARA Holdings Inc. (MARA),13.6,1.31,10.7,31900000.0
Nukkleus Inc. (NUKK),14.18,1.37,10.69,117700.0
Calix Inc. (CALX),36.78,3.54,10.63,1100000.0
IREN Ltd. (IREN),6.1,0.58,10.62,10400000.0
Hut 8 Corp. (HUT),11.76,1.12,10.53,3700000.0
REGENXBIO Inc. (RGNX),7.36,0.69,10.34,453400.0
Newsmax Inc. Cl B (NMAX),23.96,2.23,10.29,1600000.0
Full House Resorts Inc. (FLL),3.22,0.3,10.27,82700.0
Carvana Co. Cl A (CVNA),215.82,19.98,10.21,2000000.0
SolarEdge Technologies Inc. (SEDG),13.31,1.21,10.0,2300000.0
Mingteng International Corp. Inc. (MTEN),6.7,0.6,9.84,73800.0
Ameresco Inc. Cl A (AMRC),9.51,0.85,9.82,249900.0
Frequency Electronics Inc. (FEIM),18.19,1.62,9.78,54800.0
Piedmont Lithium Inc. (PLL),7.43,0.66,9.75,149200.0
PagSeguro Digital Ltd. Cl A (PAGS),9.27,0.8,9.43,2600000.0
SunOpta Inc. (STKL),4.05,0.34,9.16,278800.0
INVESCO Ltd. (IVZ),13.59,1.13,9.08,3700000.0
Intercont (Cayman) Ltd. (NCT),5.84,0.48,9.05,129500.0
Verastem Inc. (VSTM),6.77,0.56,9.02,413400.0
Bausch Health Cos. Inc. (BHC),5.14,0.42,9.0,1700000.0
Metsera Inc. (MTSR),21.25,1.74,8.92,389700.0
Solid Biosciences Inc. (SLDB),3.3,0.27,8.91,1100000.0
Sportradar Group AG Cl A (SRAD),25.04,2.03,8.84,1300000.0
Evotec SE ADR (EVO),3.9,0.32,8.8,154500.0
QuantaSing Group Ltd. ADR (QSG),4.22,0.34,8.76,158300.0
Atkore Inc. (ATKR),61.68,4.95,8.72,216900.0
NuScale Power Corp. (SMR),14.8,1.16,8.47,2000000.0
Sleep Number Corp. (SNBR),5.77,0.45,8.46,187900.0
Ares Commercial Real Estate Corp. (ACRE),3.86,0.3,8.43,269200.0
MicroStrategy Inc. (MSTR),344.2,26.44,8.32,12500000.0
CoreWeave Inc. Cl A (CRWV),38.32,2.91,8.22,4300000.0
Zai Lab Ltd. ADR (ZLAB),32.14,2.43,8.18,422400.0
Verve Therapeutics Inc. (VERV),5.17,0.39,8.16,1600000.0
Zhengye Biotechnology Holding Ltd. (ZYBT),8.32,0.62,8.05,554800.0
FTAI Infrastructure Inc. (FIP),3.76,0.28,8.05,391900.0
Pentair PLC (PNR),85.3,6.34,8.04,824900.0
INmune Bio Inc. (INMB),7.86,0.58,8.04,148600.0
Dingdong (Cayman) Ltd. ADR (DDL),2.5,0.18,8.01,614700.0
Bicycle Therapeutics Ltd. ADR (BCYC),8.11,0.6,7.99,179000.0
Xometry Inc. Cl A (XMTR),23.95,1.77,7.98,214500.0
Phunware Inc. (PHUN),2.72,0.2,7.94,103600.0
Galecto Inc. (GLTO),2.61,0.19,7.85,67300.0
BeiGene Ltd. ADR (ONC),247.09,17.87,7.8,280200.0
Coinbase Global Inc. (COIN),188.56,13.56,7.75,5200000.0
Quest Diagnostics Inc. (DGX),174.4,12.54,7.75,567300.0
Lightbridge Corp. (LTBR),7.65,0.55,7.75,414400.0
MBX Biosciences Inc. (MBX),8.23,0.59,7.72,99500.0
Summit Therapeutics Inc. (SMMT),27.16,1.94,7.69,1700000.0
GRAIL Inc. (GRAL),28.44,2.02,7.65,440800.0
PulteGroup Inc. (PHM),100.2,7.09,7.61,773100.0
RedHill Biopharma Ltd. ADR (RDHL),2.34,0.17,7.6,96100.0
RH (RH),167.51,11.72,7.52,787700.0
Lifevantage Corp. (LFVN),13.3,0.92,7.43,52700.0
Global Mofy AI Ltd. (GMM),2.17,0.15,7.42,63200.0
Porch Group Inc. (PRCH),5.0,0.34,7.4,748300.0
Sezzle Inc. (SEZL),41.44,2.85,7.39,213500.0
KORU Medical Systems Inc. (KRMD),2.4,0.17,7.37,58300.0
Core Scientific Inc. (CORZ),6.86,0.47,7.28,4600000.0
Green Plains Inc. (GPRE),3.54,0.24,7.27,350300.0
Trinseo PLC (TSE),3.32,0.23,7.26,115000.0
