symbol,price,price_change,price_percent_change,volume
BRPHF,13.18 +2.20 (+20.04%),2.2,20.04,42943.0
CLSK,8.77 +1.30 (+17.40%),1.3,17.4,
MARA,14.06 +1.77 (+14.40%),1.77,14.4,
ROOT,134.95 +16.56 (+13.99%),16.56,13.99,504062.0
EFX,245.08 +29.79 (+13.84%),29.79,13.84,
RIOT,7.12 +0.83 (+13.20%),0.83,13.2,
CALX,37.61 +4.36 (+13.11%),4.36,13.11,
HCM,15.60 +1.71 (+12.31%),1.71,12.31,166245.0
DNLI,14.60 +1.45 (+11.03%),1.45,11.03,
RH,172.80 +17.01 (+10.92%),17.01,10.92,
FSLR,135.35 +12.90 (+10.53%),12.9,10.53,
ATKR,62.66 +5.93 (+10.45%),5.93,10.45,709496.0
PAGS,9.35 +0.88 (+10.39%),0.88,10.39,
FUJIY,10.36 +0.94 (+9.98%),0.94,9.98,155383.0
AMRN,10.46 +0.91 (+9.53%),0.91,9.53,158504.0
ZLAB,32.53 +2.82 (+9.49%),2.82,9.49,
XIACF,5.80 +0.50 (+9.43%),0.5,9.43,177455.0
XIACY,28.92 +2.47 (+9.34%),2.47,9.34,352149.0
SWTX,40.50 +3.44 (+9.28%),3.44,9.28,
PNR,86.24 +7.28 (+9.22%),7.28,9.22,
ADMA,21.39 +1.75 (+8.91%),1.75,8.91,
SRAD,25.04 +2.03 (+8.82%),2.03,8.82,
HTZ,8.52 +0.69 (+8.81%),0.69,8.81,
STNE,13.12 +1.06 (+8.79%),1.06,8.79,
COIN,190.00 +15.00 (+8.57%),15.0,8.57,
SOUN,8.14 +0.64 (+8.53%),0.64,8.53,
SMMT,27.35 +2.13 (+8.45%),2.13,8.45,
PENN,14.99 +1.16 (+8.39%),1.16,8.39,
PHM,100.89 +7.78 (+8.36%),7.78,8.36,
IVZ,13.49 +1.03 (+8.27%),1.03,8.27,
CVNA,211.95 +16.12 (+8.23%),16.12,8.23,
MMM,136.33 +10.24 (+8.12%),10.24,8.12,
PTON,5.75 +0.43 (+8.08%),0.43,8.08,
APGE,35.50 +2.65 (+8.07%),2.65,8.07,802927.0
RDDT,101.66 +7.51 (+7.98%),7.51,7.98,
MSTR,343.03 +25.27 (+7.95%),25.27,7.95,
AFRM,43.82 +3.17 (+7.80%),3.17,7.8,
AUR,6.15 +0.44 (+7.71%),0.44,7.71,
TAL,10.75 +0.76 (+7.61%),0.76,7.61,
VKTX,25.48 +1.76 (+7.42%),1.76,7.42,
SRPT,59.31 +4.08 (+7.39%),4.08,7.39,
YUMC,44.78 +3.08 (+7.39%),3.08,7.39,
BYDDY,98.44 +6.74 (+7.35%),6.74,7.35,227909.0
MAN,42.86 +2.89 (+7.23%),2.89,7.23,
SIG,56.19 +3.78 (+7.21%),3.78,7.21,
CATY,41.35 +2.75 (+7.12%),2.75,7.12,894289.0
CZR,26.75 +1.75 (+7.00%),1.75,7.0,
LEGN,34.48 +2.24 (+6.95%),2.24,6.95,
TWST,36.94 +2.38 (+6.89%),2.38,6.89,812750.0
UCB,26.27 +1.69 (+6.88%),1.69,6.88,
QFIN,37.93 +2.44 (+6.88%),2.44,6.88,
TRU,75.56 +4.85 (+6.86%),4.85,6.86,
RKT,12.34 +0.79 (+6.84%),0.79,6.84,
DGX,172.84 +10.98 (+6.78%),10.98,6.78,
BYDDF,49.18 +3.08 (+6.68%),3.08,6.68,41381.0
PI,74.29 +4.62 (+6.63%),4.62,6.63,981752.0
LKNCY,32.01 +1.98 (+6.59%),1.98,6.59,948038.0
WGS,96.89 +5.85 (+6.43%),5.85,6.43,921249.0
ZK,19.56 +1.18 (+6.42%),1.18,6.42,891229.0
DUOL,336.34 +20.27 (+6.41%),20.27,6.41,589406.0
FUTU,85.34 +5.12 (+6.38%),5.12,6.38,
SMMYY,5.67 +0.34 (+6.38%),0.34,6.38,21438.0
IONQ,25.56 +1.53 (+6.37%),1.53,6.37,
KC,11.70 +0.70 (+6.36%),0.7,6.36,
MTSUY,18.32 +1.09 (+6.33%),1.09,6.33,17080.0
CHWY,36.02 +2.14 (+6.32%),2.14,6.32,
W,27.44 +1.63 (+6.32%),1.63,6.32,
MOH,321.16 +19.07 (+6.31%),19.07,6.31,
VRT,71.82 +4.25 (+6.29%),4.25,6.29,
BHF,51.82 +3.03 (+6.21%),3.03,6.21,788546.0
CRDO,37.02 +2.16 (+6.20%),2.16,6.2,
INTR,6.04 +0.35 (+6.15%),0.35,6.15,
SRRK,31.64 +1.83 (+6.14%),1.83,6.14,
NRG,98.80 +5.71 (+6.13%),5.71,6.13,
GE,189.18 +10.83 (+6.07%),10.83,6.07,
OS,19.79 +1.13 (+6.06%),1.13,6.06,824996.0
CRS,177.38 +9.98 (+5.96%),9.98,5.96,911415.0
PAY,30.01 +1.67 (+5.89%),1.67,5.89,271766.0
RUM,7.56 +0.42 (+5.88%),0.42,5.88,
IESC,177.52 +9.85 (+5.87%),9.85,5.87,132699.0
LNVGY,21.66 +1.20 (+5.87%),1.2,5.87,24070.0
XENE,36.73 +2.03 (+5.85%),2.03,5.85,926495.0
DVN,31.20 +1.72 (+5.83%),1.72,5.83,
GPN,71.39 +3.92 (+5.81%),3.92,5.81,
DFH,22.26 +1.22 (+5.80%),1.22,5.8,394969.0
TOL,97.47 +5.34 (+5.80%),5.34,5.8,
LAZ,36.40 +1.99 (+5.78%),1.99,5.78,
COHR,55.13 +3.01 (+5.78%),3.01,5.78,
TMHC,58.79 +3.20 (+5.76%),3.2,5.76,
OGN,11.24 +0.61 (+5.74%),0.61,5.74,
BURBY,9.04 +0.49 (+5.73%),0.49,5.73,34590.0
VST,112.63 +6.11 (+5.74%),6.11,5.74,
CE,41.56 +2.25 (+5.72%),2.25,5.72,
RGTI,8.57 +0.46 (+5.67%),0.46,5.67,
WTS,204.19 +10.93 (+5.66%),10.93,5.66,333134.0
SPOT,590.39 +31.57 (+5.65%),31.57,5.65,
MTH,68.16 +3.64 (+5.64%),3.64,5.64,756507.0
CCOJY,9.18 +0.49 (+5.64%),0.49,5.64,64900.0
HSHCY,11.44 +0.61 (+5.63%),0.61,5.63,33515.0
HOOD,42.09 +2.24 (+5.62%),2.24,5.62,
