symbol,price,price_change,price_percent_change,volume
GDS,22.40 +1.19 (+5.61%),1.19,5.61,
OKLO,21.53 +1.14 (+5.59%),1.14,5.59,
BZLFY,15.78 +0.83 (+5.55%),0.83,5.55,43117.0
RGEN,138.93 +7.29 (+5.54%),7.29,5.54,
WIX,154.61 +8.11 (+5.54%),8.11,5.54,564455.0
SLG,53.00 +2.77 (+5.51%),2.77,5.51,
BASFY,12.44 +0.65 (+5.51%),0.65,5.51,27726.0
NBIS,21.86 +1.14 (+5.50%),1.14,5.5,
TEM,43.23 +2.25 (+5.49%),2.25,5.49,
UPST,41.93 +2.18 (+5.48%),2.18,5.48,
SOFI,11.27 +0.58 (+5.43%),0.58,5.43,
FTAI,92.04 +4.69 (+5.37%),4.69,5.37,
RCL,199.67 +10.16 (+5.36%),10.16,5.36,
PPRUY,19.48 +0.99 (+5.35%),0.99,5.35,44558.0
IBP,162.40 +8.19 (+5.31%),8.19,5.31,361333.0
TBBK,45.82 +2.31 (+5.31%),2.31,5.31,311636.0
NFLX,"1,040.34 +52.43 (+5.31%)",52.43,5.31,
HUM,258.92 +13.01 (+5.29%),13.01,5.29,
FLG,10.98 +0.55 (+5.27%),0.55,5.27,
CAR,84.89 +4.23 (+5.24%),4.23,5.24,
GT,10.45 +0.52 (+5.24%),0.52,5.24,
WRB,70.85 +3.52 (+5.23%),3.52,5.23,
MHO,109.33 +5.43 (+5.23%),5.43,5.23,193839.0
FQVLF,12.10 +0.60 (+5.22%),0.6,5.22,35719.0
BABA,115.88 +5.73 (+5.20%),5.73,5.2,
MU,70.21 +3.47 (+5.20%),3.47,5.2,
TEVA,14.00 +0.69 (+5.18%),0.69,5.18,
DJT,23.65 +1.16 (+5.16%),1.16,5.16,
WTFC,106.66 +5.23 (+5.16%),5.23,5.16,834593.0
CRHKY,7.39 +0.36 (+5.12%),0.36,5.12,17260.0
SGHC,7.85 +0.38 (+5.09%),0.38,5.09,915337.0
KBH,53.66 +2.59 (+5.07%),2.59,5.07,
SIEGY,109.51 +5.26 (+5.05%),5.26,5.05,39129.0
BCS,15.23 +0.73 (+5.03%),0.73,5.03,
EVR,184.26 +8.80 (+5.02%),8.8,5.02,597049.0
VWAGY,10.73 +0.51 (+4.99%),0.51,4.99,47008.0
SHOP,85.71 +4.07 (+4.99%),4.07,4.99,
FRHC,132.93 +6.31 (+4.98%),6.31,4.98,70939.0
FIVE,71.46 +3.39 (+4.98%),3.39,4.98,
OMF,45.82 +2.17 (+4.97%),2.17,4.97,
DRPRY,5.08 +0.24 (+4.96%),0.24,4.96,35601.0
ATGE,102.14 +4.82 (+4.95%),4.82,4.95,513880.0
APPF,220.29 +10.39 (+4.95%),10.39,4.95,249313.0
BBAR,20.78 +0.98 (+4.95%),0.98,4.95,467401.0
MBGYY,14.68 +0.69 (+4.93%),0.69,4.93,28195.0
FA,13.63 +0.64 (+4.93%),0.64,4.93,
TPL,"1,310.43 +61.46 (+4.92%)",61.46,4.92,95871.0
SXT,78.40 +3.67 (+4.91%),3.67,4.91,572797.0
BAYRY,6.22 +0.29 (+4.89%),0.29,4.89,104670.0
BMRN,61.50 +2.85 (+4.86%),2.85,4.86,
ZWS,31.13 +1.44 (+4.85%),1.44,4.85,
CELH,37.84 +1.75 (+4.85%),1.75,4.85,
SYBT,71.38 +3.30 (+4.85%),3.3,4.85,192222.0
GSHD,103.22 +4.77 (+4.85%),4.77,4.85,255872.0
BMA,93.17 +4.30 (+4.84%),4.3,4.84,282240.0
ELAN,8.89 +0.41 (+4.83%),0.41,4.83,
ESI,18.87 +0.87 (+4.83%),0.87,4.83,
EAT,156.89 +7.23 (+4.83%),7.23,4.83,
IMO,67.97 +3.12 (+4.81%),3.12,4.81,698489.0
GRBK,57.17 +2.61 (+4.78%),2.61,4.78,340453.0
XPEV,19.07 +0.87 (+4.78%),0.87,4.78,
U,20.17 +0.92 (+4.78%),0.92,4.78,
ROAD,77.06 +3.48 (+4.73%),3.48,4.73,365036.0
MGM,30.28 +1.36 (+4.70%),1.36,4.7,
BOOT,93.32 +4.19 (+4.70%),4.19,4.7,839193.0
TRV,261.31 +11.72 (+4.70%),11.72,4.7,
CRBG,28.25 +1.26 (+4.67%),1.26,4.67,
KNF,88.35 +3.94 (+4.67%),3.94,4.67,461844.0
LFUS,163.38 +7.25 (+4.64%),7.25,4.64,431536.0
SNEX,81.97 +3.63 (+4.63%),3.63,4.63,435913.0
BAM,49.47 +2.19 (+4.63%),2.19,4.63,
JHG,30.96 +1.37 (+4.63%),1.37,4.63,
CROX,93.59 +4.13 (+4.62%),4.13,4.62,
SFTBY,24.26 +1.07 (+4.61%),1.07,4.61,154120.0
TSLA,237.97 +10.47 (+4.60%),10.47,4.6,
NET,106.81 +4.70 (+4.60%),4.7,4.6,
TPH,30.93 +1.36 (+4.60%),1.36,4.6,947336.0
MT,27.77 +1.22 (+4.60%),1.22,4.6,
QGEN,42.34 +1.86 (+4.59%),1.86,4.59,
WMMVY,32.33 +1.42 (+4.59%),1.42,4.59,186633.0
ALKT,25.10 +1.10 (+4.58%),1.1,4.58,728508.0
WAT,330.71 +14.48 (+4.58%),14.48,4.58,517357.0
CVLT,149.60 +6.55 (+4.58%),6.55,4.58,448496.0
GENI,10.32 +0.45 (+4.56%),0.45,4.56,
ULS,55.51 +2.42 (+4.56%),2.42,4.56,803202.0
DB,24.33 +1.06 (+4.56%),1.06,4.56,
CSAN,5.08 +0.22 (+4.53%),0.22,4.53,
ICAGY,6.74 +0.29 (+4.50%),0.29,4.5,71289.0
CKHUY,5.58 +0.24 (+4.49%),0.24,4.49,51250.0
WST,215.13 +9.25 (+4.49%),9.25,4.49,
COOP,112.07 +4.81 (+4.48%),4.81,4.48,732865.0
NU,11.19 +0.48 (+4.48%),0.48,4.48,
SCGLY,9.37 +0.40 (+4.46%),0.4,4.46,48706.0
TNL,42.64 +1.82 (+4.46%),1.82,4.46,
PRKS,45.01 +1.91 (+4.43%),1.91,4.43,810849.0
KKR,102.28 +4.33 (+4.42%),4.33,4.42,
LB,68.30 +2.89 (+4.42%),2.89,4.42,347726.0
RBRK,61.89 +2.61 (+4.40%),2.61,4.4,
WK,68.82 +2.90 (+4.40%),2.9,4.4,662903.0
ALLY,31.41 +1.32 (+4.39%),1.32,4.39,
,,,,
