name,price,price_change,price_percent_change,volume
Cantor Equity Partners Inc. (CEP),24.8,8.3,50.3,53500000.0
TMC the metals company Inc. (TMC),3.69,1.14,44.71,64500000.0
Pony AI Inc. ADR (PONY),7.57,2.14,39.41,20100000.0
Arena Group Holdings Inc. (AREN),4.58,1.22,36.31,796200.0
Zhengye Biotechnology Holding Ltd. (ZYBT),10.55,2.73,34.91,745900.0
EPWK Holdings Ltd. Cl A (EPWK),10.9,2.78,34.24,740400.0
Sagtec Global Ltd. (SAGT),3.42,0.84,32.56,93700.0
Ostin Technology Group Co. Ltd. (OST),2.77,0.68,32.54,2200000.0
KWESST Micro Systems Inc. (KWE),6.0,1.41,30.82,1500000.0
Xcel Brands Inc. (XELB),3.0,0.7,30.72,3600000.0
Ardagh Metal Packaging S.A. (AMBP),3.6,0.84,30.43,10800000.0
Epsium Enterprise Ltd. (EPSM),6.94,1.56,29.0,2200000.0
American Rebel Holdings Inc. (AREB),3.92,0.85,27.69,83400000.0
MicroCloud Hologram Inc. (HOLO),14.65,3.07,26.51,2700000.0
Shyft Group Inc. (SHYF),9.21,1.91,26.16,907900.0
STAK Inc. (STAK),2.94,0.59,25.11,294000.0
Energys Group Ltd. (ENGS),9.14,1.82,24.86,148800.0
Piedmont Lithium Inc. (PLL),8.91,1.76,24.62,906900.0
SurgePays Inc. (SURG),3.23,0.6,22.81,1000000.0
Upexi Inc. (UPXI),13.52,2.51,22.8,1700000.0
Wolfspeed Inc. (WOLF),3.14,0.57,22.18,29000000.0
Aeluma Inc. (ALMU),8.46,1.51,21.73,206300.0
USA Rare Earth Inc. (USAR),13.23,2.35,21.6,2600000.0
SiNtx Technologies Inc. (SINT),2.72,0.48,21.43,233500.0
Jaguar Health Inc. (JAGX),8.06,1.39,20.84,59400.0
Unusual Machines Inc. (UMAC),6.34,1.04,19.62,1400000.0
Iveda Solutions Inc. (IVDA),2.94,0.47,19.03,52200.0
ZenaTech Inc. (ZENA),2.6,0.41,18.72,48300000.0
Community Health Systems Inc. (CYH),2.88,0.45,18.52,10500000.0
FARO Technologies Inc. (FARO),31.23,4.83,18.3,880900.0
VCI Global Ltd. (VCIG),4.73,0.73,18.25,279800.0
Canadian Solar Inc. (CSIQ),9.28,1.42,18.07,3400000.0
MarineMax Inc. (HZO),22.67,3.35,17.34,906700.0
Guess? Inc. (GES),11.65,1.71,17.2,5000000.0
Microbot Medical Inc. (MBOT),2.43,0.35,16.83,3500000.0
Impinj Inc. (PI),89.75,12.68,16.45,2300000.0
DDC Enterprise Ltd. (DDC),2.56,0.36,16.36,69400.0
iRobot Corp. (IRBT),2.44,0.34,16.19,1700000.0
ServiceNow Inc. (NOW),938.57,125.87,15.49,6100000.0
WiMi Hologram Cloud Inc. Cl B (WIMI),5.68,0.75,15.21,1200000.0
SHF Holdings Inc. (SHFS),3.8,0.5,15.15,116000.0
Oncocyte Corp. (OCX),3.39,0.44,14.92,169800.0
