name,price,price_change,price_percent_change,volume
Anteris Technologies Global Corp. (AVR),5.14,0.66,14.73,349400.0
Hasbro Inc. (HAS),60.37,7.68,14.58,6100000.0
electroCore Inc. (ECOR),7.55,0.96,14.57,116800.0
Tectonic Therapeutic Inc. (TECX),22.38,2.84,14.53,645400.0
GSR III Acquisition Corp. Rt (GSRTR),2.7,0.34,14.41,50600.0
Materialise N.V. ADR (MTLS),5.29,0.66,14.25,369000.0
TTEC Holdings Inc. (TTEC),4.37,0.54,14.1,732600.0
Indivior PLC (INDV),10.76,1.31,13.86,1300000.0
MP Materials Corp. (MP),26.01,3.12,13.63,10800000.0
BlackSky Technology Inc. (BKSY),8.18,0.98,13.61,823400.0
Entera Bio Ltd. (ENTX),2.35,0.28,13.53,169200.0
Corbus Pharmaceuticals Holdings Inc. (CRBP),8.35,0.96,12.99,268500.0
Serve Robotics Inc. (SERV),6.66,0.76,12.88,5500000.0
Lufax Holding Ltd. ADR (LU),2.95,0.33,12.6,10600000.0
New Fortress Energy LLC Cl A (NFE),5.87,0.65,12.45,6900000.0
Sagimet Biosciences Inc. (SGMT),3.12,0.34,12.43,1000000.0
Focus Universal Inc. (FCUV),4.72,0.52,12.38,89200.0
Microchip Technology Inc. (MCHP),47.12,5.19,12.38,20400000.0
Nano Nuclear Energy Inc. (NNE),23.05,2.53,12.33,2100000.0
Oncology Institute Inc. (TOI),3.23,0.35,12.15,1900000.0
Clene Inc. (CLNN),3.17,0.34,12.01,414500.0
Alpha & Omega Semiconductor Inc. (AOSL),19.52,2.09,11.99,578200.0
Lattice Semiconductor Corp. (LSCC),49.09,5.19,11.82,3200000.0
Biomea Fusion Inc. (BMEA),2.3,0.24,11.65,665100.0
GRAIL Inc. (GRAL),37.69,3.93,11.64,1100000.0
Power Solutions International Inc. (PSIX),26.79,2.74,11.39,350600.0
Applied Digital Corp. (APLD),4.54,0.46,11.27,37500000.0
Bakkt Holdings Inc. (BKKT),10.06,1.01,11.16,297800.0
Aeva Technologies Inc. (AEVA),7.49,0.75,11.13,926600.0
LendingTree Inc. (TREE),51.53,5.13,11.06,573300.0
BriaCell Therapeutics Corp. (BCTX),6.03,0.6,11.05,40500000.0
Healthcare Services Group Inc. (HCSG),13.52,1.33,10.91,2100000.0
SEACOR Marine Holdings Inc. (SMHI),5.02,0.49,10.82,198800.0
Draganfly Inc. (DPRO),2.79,0.27,10.71,90700.0
Sezzle Inc. (SEZL),47.42,4.58,10.69,785200.0
Silvaco Group Inc. (SVCO),5.18,0.5,10.68,75100.0
Intrepid Potash Inc. (IPI),33.13,3.19,10.65,457700.0
Summit Therapeutics Inc. (SMMT),36.7,3.47,10.44,7600000.0
Covenant Logistics Group Inc. Cl A (CVLG),20.76,1.96,10.43,160000.0
Allegion PLC (ALLE),139.51,13.05,10.32,2600000.0
Klaviyo Inc. (KVYO),28.94,2.7,10.29,3400000.0
Proficient Auto Logistics Inc. (PAL),9.12,0.85,10.28,245100.0
Talkspace Inc. (TALK),3.12,0.29,10.25,2000000.0
Vishay Intertechnology Inc. (VSH),12.94,1.2,10.22,3400000.0
Fortrea Holdings Inc. (FTRE),5.86,0.54,10.15,2500000.0
Atara Biotherapeutics Inc. (ATRA),7.6,0.7,10.14,56700.0
ResMed Inc. (RMD),236.1,21.66,10.1,2300000.0
Paysign Inc. (PAYS),2.41,0.22,10.05,291800.0
Elong Power Holding Ltd. (ELPW),2.96,0.27,10.04,155500.0
Entegris Inc. (ENTG),79.71,7.22,9.96,4500000.0
Senti Biosciences Inc. (SNTI),4.87,0.44,9.93,50400.0
Atlas Lithium Corp. (ATLX),4.45,0.4,9.88,105100.0
United Rentals Inc. (URI),647.36,58.15,9.87,1500000.0
TechnipFMC PLC (FTI),27.5,2.47,9.87,8400000.0
Mobileye Global Inc. Cl A (MBLY),14.5,1.3,9.85,8000000.0
Regulus Therapeutics Inc. (RGLS),2.8,0.25,9.8,1900000.0
Amentum Holdings Inc. (AMTM),21.68,1.93,9.77,3500000.0
Applied Optoelectronics Inc. (AAOI),12.79,1.13,9.69,3100000.0
