name,price,price_change,price_percent_change,volume
Tivic Health Systems Inc. (TIVC),7.13,3.63,103.71,35200000.0
Oblong Inc. (OBLG),3.54,1.4,65.42,21000000.0
TMD Energy Ltd. (TMDE),5.24,1.61,44.35,1700000.0
NovaGold Resources Inc. (NG),4.35,1.24,39.87,25000000.0
Safe Pro Group Inc. (SPAI),3.46,0.76,27.96,289200.0
BriaCell Therapeutics Corp. (BCTX),5.35,1.16,27.68,607900.0
VCI Global Ltd. (VCIG),3.57,0.73,25.7,968100.0
Agenus Inc. (AGEN),2.87,0.56,24.24,4500000.0
Bitdeer Technologies Group (BTDR),9.38,1.78,23.42,8400000.0
Femto Technologies Inc. (FMTO),7.33,1.33,22.17,2400000.0
Coincheck Group N.V. (CNCK),7.37,1.32,21.82,95200.0
Innventure Inc. (INV),4.37,0.77,21.39,219800.0
Creative Media & Community Trust Corp. (CMCT),5.03,0.87,20.91,1000000.0
Antelope Enterprise Holdings Ltd. (AEHL),3.1,0.52,20.16,610200.0
QuantaSing Group Ltd. ADR (QSG),4.66,0.78,20.1,537200.0
Korro Bio Inc. (KRRO),16.34,2.69,19.76,232900.0
XIAO-I Corp. ADR (AIXI),3.44,0.56,19.44,95000.0
Auddia Inc. (AUUD),3.87,0.61,18.71,934200.0
Larimar Therapeutics Inc. (LRMR),2.38,0.37,18.41,2300000.0
AgapeATP Corp. (ATPC),2.45,0.38,18.36,691000.0
LogProstyle Inc. (LGPS),4.07,0.62,17.97,80000.0
908 Devices Inc. (MASS),5.66,0.86,17.92,1300000.0
TeraWulf Inc. (WULF),2.65,0.4,17.78,59400000.0
CleanSpark Inc. (CLSK),8.77,1.3,17.4,39700000.0
REGENXBIO Inc. (RGNX),7.82,1.15,17.24,1400000.0
Cipher Mining Inc. (CIFR),2.74,0.4,17.09,22000000.0
Zhengye Biotechnology Holding Ltd. (ZYBT),9.01,1.31,17.01,1300000.0
Journey Medical Corp. (DERM),7.39,1.06,16.75,191500.0
Capricor Therapeutics Inc. (CAPR),13.89,1.97,16.53,2200000.0
Zoomcar Holdings Inc. (ZCAR),3.68,0.52,16.46,130900.0
Amylyx Pharmaceuticals Inc. (AMLX),4.92,0.69,16.31,1900000.0
Coya Therapeutics Inc. (COYA),6.64,0.93,16.29,163700.0
Bicycle Therapeutics Ltd. ADR (BCYC),8.73,1.22,16.25,809900.0
Regulus Therapeutics Inc. (RGLS),2.32,0.31,15.42,1600000.0
CuriosityStream Inc. (CURI),3.52,0.47,15.41,445000.0
ThredUp Inc. Cl A (TDUP),3.85,0.51,15.27,1800000.0
Neurogene Inc. (NGNE),13.83,1.81,15.06,304100.0
PureCycle Technologies Inc. (PCT),6.39,0.82,14.82,5000000.0
Gauzy Ltd. (GAUZ),10.29,1.3,14.46,224400.0
MARA Holdings Inc. (MARA),14.06,1.77,14.4,61100000.0
Janover Inc. (JNVR),44.86,5.51,14.0,320600.0
Root Inc. Cl A (ROOT),134.95,16.56,13.99,504400.0
Equifax Inc. (EFX),245.08,29.79,13.84,2000000.0
Oruka Therapeutics Inc. (ORKA),10.58,1.28,13.76,217200.0
Brazil Potash Corp. (GRO),2.84,0.34,13.6,77700.0
Energys Group Ltd. (ENGS),5.85,0.7,13.59,769500.0
Eledon Pharmaceuticals Inc. (ELDN),3.38,0.4,13.42,377200.0
Oncology Institute Inc. (TOI),2.71,0.32,13.39,3800000.0
Laser Photonics Corp. (LASE),2.88,0.34,13.39,123800.0
Verastem Inc. (VSTM),7.04,0.83,13.37,1600000.0
Solid Biosciences Inc. (SLDB),3.43,0.4,13.2,2700000.0
Riot Platforms Inc. (RIOT),7.12,0.83,13.2,39300000.0
Mingteng International Corp. Inc. (MTEN),6.9,0.8,13.11,131200.0
Calix Inc. (CALX),37.61,4.36,13.11,3300000.0
MBX Biosciences Inc. (MBX),8.64,1.0,13.09,441800.0
Ascentage Pharma Group International ADR (AAPG),21.6,2.48,12.97,120000.0
BTC Digital Ltd. (BTCT),3.78,0.43,12.84,655600.0
Hesai Group ADR (HSAI),13.09,1.48,12.75,7000000.0
Wellgistics Health Inc. (WGRX),3.5,0.4,12.74,65300.0
iTeos Therapeutics Inc. (ITOS),7.45,0.83,12.54,1300000.0
Intercont (Cayman) Ltd. (NCT),6.03,0.67,12.5,483400.0
IperionX Ltd. ADR (IPX),21.93,2.43,12.46,94400.0
Astria Therapeutics Inc. (ATXS),4.62,0.51,12.41,855000.0
GRAIL Inc. (GRAL),29.69,3.27,12.38,1400000.0
HUTCHMED (China) Ltd. ADR (HCM),15.6,1.71,12.31,166700.0
BeLive Holdings (BLIV),3.76,0.41,12.24,192400.0
Lightbridge Corp. (LTBR),7.96,0.86,12.11,815500.0
Kodiak Sciences Inc. (KOD),3.64,0.39,12.0,718100.0
Marwynn Holdings Inc. (MWYN),4.41,0.47,11.93,2600000.0
Anteris Technologies Global Corp. (AVR),3.51,0.37,11.78,286300.0
Ameresco Inc. Cl A (AMRC),9.68,1.02,11.78,888900.0
