name,price,price_change,price_percent_change,volume
WiMi Hologram Cloud Inc. Cl B (WIMI),5.03,0.53,11.78,1600000.0
Karyopharm Therapeutics Inc. (KPTI),6.03,0.63,11.67,107800.0
Sleep Number Corp. (SNBR),5.94,0.62,11.65,607000.0
Nukkleus Inc. (NUKK),14.3,1.49,11.63,156000.0
Semler Scientific Inc. (SMLR),33.28,3.45,11.57,432200.0
Kazia Therapeutics Ltd. ADR (KZIA),3.44,0.35,11.33,52900.0
bluebird bio Inc. (BLUE),4.34,0.44,11.28,150500.0
Rapport Therapeutics Inc. (RAPP),11.55,1.17,11.27,136300.0
Aligos Therapeutics Inc. (ALGS),5.14,0.52,11.26,97800.0
Outbrain Inc. (OB),3.57,0.36,11.21,755300.0
Nuvectis Pharma Inc. (NVCT),9.27,0.93,11.15,100600.0
Metsera Inc. (MTSR),21.68,2.17,11.12,1000000.0
Denali Therapeutics Inc. (DNLI),14.6,1.45,11.03,1900000.0
MeiraGTx Holdings PLC (MGTX),6.27,0.62,10.97,809500.0
Full House Resorts Inc. (FLL),3.24,0.32,10.96,136200.0
RH (RH),172.8,17.01,10.92,2500000.0
Evotec SE ADR (EVO),3.97,0.39,10.89,339700.0
Hut 8 Corp. (HUT),11.79,1.15,10.81,8000000.0
American Vanguard Corp. (AVD),4.21,0.41,10.79,221500.0
Enliven Therapeutics Inc. (ELVN),17.97,1.75,10.79,508000.0
Galecto Inc. (GLTO),2.68,0.26,10.74,87300.0
Arcturus Therapeutics Holdings Inc. (ARCT),12.17,1.17,10.64,459700.0
NuScale Power Corp. (SMR),15.09,1.45,10.63,6100000.0
First Solar Inc. (FSLR),135.35,12.9,10.53,8000000.0
Atkore Inc. (ATKR),62.66,5.93,10.45,822400.0
Avalo Therapeutics Inc. (AVTX),4.87,0.46,10.43,74300.0
PagSeguro Digital Ltd. Cl A (PAGS),9.35,0.88,10.39,7300000.0
4D Molecular Therapeutics Inc. (FDMT),3.4,0.32,10.39,651200.0
Design Therapeutics Inc. (DSGN),3.96,0.37,10.31,115400.0
