symbol,price,price_change,price_percent_change,volume
PONY,7.57 +2.14 (+39.41%),2.14,39.41,
PI,89.75 +12.68 (+16.45%),12.68,16.45,
NOW,938.57 +125.87 (+15.49%),125.87,15.49,
HAS,60.37 +7.68 (+14.58%),7.68,14.58,
MP,26.01 +3.12 (+13.63%),3.12,13.63,
MCHP,47.12 +5.19 (+12.38%),5.19,12.38,
LSCC,49.09 +5.19 (+11.82%),5.19,11.82,
BRPHF,14.91 +1.51 (+11.27%),1.51,11.27,30831.0
SMMT,36.70 +3.47 (+10.44%),3.47,10.44,
ALLE,139.51 +13.05 (+10.32%),13.05,10.32,
KVYO,28.94 +2.70 (+10.29%),2.7,10.29,
RMD,236.10 +21.66 (+10.10%),21.66,10.1,
ENTG,79.71 +7.22 (+9.96%),7.22,9.96,
URI,647.36 +58.15 (+9.87%),58.15,9.87,
FTI,27.50 +2.47 (+9.87%),2.47,9.87,
MBLY,14.50 +1.30 (+9.85%),1.3,9.85,
AMTM,21.68 +1.93 (+9.77%),1.93,9.77,
BOLSY,6.94 +0.60 (+9.46%),0.6,9.46,51790.0
KYMR,33.56 +2.86 (+9.32%),2.86,9.32,
BHVN,23.40 +1.98 (+9.24%),1.98,9.24,
MKSI,74.13 +6.22 (+9.16%),6.22,9.16,
FCFS,131.72 +11.01 (+9.12%),11.01,9.12,823118.0
ON,39.96 +3.34 (+9.12%),3.34,9.12,
SWTX,44.93 +3.72 (+9.03%),3.72,9.03,
BLCO,13.89 +1.15 (+9.03%),1.15,9.03,865078.0
SMCI,35.81 +2.91 (+8.84%),2.91,8.84,
RKT,13.16 +1.06 (+8.76%),1.06,8.76,
IFNNY,33.87 +2.67 (+8.56%),2.67,8.56,42048.0
LFUS,176.58 +13.63 (+8.36%),13.63,8.36,383914.0
NVMI,196.75 +14.89 (+8.19%),14.89,8.19,351351.0
MPWR,580.75 +43.78 (+8.15%),43.78,8.15,
SITM,148.95 +11.21 (+8.14%),11.21,8.14,249620.0
TEAM,225.08 +16.81 (+8.07%),16.81,8.07,
SMTC,29.34 +2.19 (+8.07%),2.19,8.07,
SLAB,103.88 +7.75 (+8.06%),7.75,8.06,398289.0
AI,22.02 +1.63 (+7.99%),1.63,7.99,
TEM,53.50 +3.95 (+7.97%),3.95,7.97,
AMRN,11.18 +0.82 (+7.92%),0.82,7.92,77826.0
CACI,456.67 +33.30 (+7.87%),33.3,7.87,965828.0
HOOD,48.15 +3.49 (+7.81%),3.49,7.81,
RKLB,21.88 +1.59 (+7.84%),1.59,7.84,
SEIC,78.70 +5.70 (+7.81%),5.7,7.81,
TFII,84.53 +6.10 (+7.78%),6.1,7.78,788583.0
ALGM,18.87 +1.35 (+7.71%),1.35,7.71,
SNOW,158.66 +11.27 (+7.65%),11.27,7.65,
ST,21.64 +1.52 (+7.55%),1.52,7.55,
VRT,83.88 +5.88 (+7.54%),5.88,7.54,
RMBS,49.36 +3.42 (+7.44%),3.42,7.44,
ASTS,24.07 +1.65 (+7.36%),1.65,7.36,
TWLO,93.53 +6.40 (+7.35%),6.4,7.35,
CRWD,414.05 +28.30 (+7.34%),28.3,7.34,
ALAB,64.55 +4.40 (+7.32%),4.4,7.32,
GEV,360.49 +24.40 (+7.26%),24.4,7.26,
NTDOY,19.86 +1.34 (+7.24%),1.34,7.24,
STM,23.34 +1.56 (+7.16%),1.56,7.16,
SOUN,9.38 +0.63 (+7.20%),0.63,7.2,
MNDY,265.68 +17.69 (+7.13%),17.69,7.13,729621.0
COHR,63.51 +4.17 (+7.03%),4.17,7.03,
BRZE,30.33 +1.99 (+7.02%),1.99,7.02,
NXPI,193.57 +12.70 (+7.02%),12.7,7.02,
PEN,298.25 +19.48 (+6.99%),19.48,6.99,
FCX,37.63 +2.44 (+6.93%),2.44,6.93,
PLTR,107.78 +6.96 (+6.90%),6.96,6.9,
LOAR,91.85 +5.91 (+6.88%),5.91,6.88,838838.0
APH,76.03 +4.88 (+6.86%),4.88,6.86,
CFLT,23.26 +1.49 (+6.84%),1.49,6.84,
ESI,20.53 +1.31 (+6.82%),1.31,6.82,
IRDM,23.04 +1.47 (+6.82%),1.47,6.82,
TWST,40.17 +2.55 (+6.78%),2.55,6.78,736072.0
TRU,82.47 +5.21 (+6.74%),5.21,6.74,
FRSH,13.64 +0.86 (+6.73%),0.86,6.73,
ELF,60.66 +3.82 (+6.72%),3.82,6.72,
WSC,24.89 +1.55 (+6.64%),1.55,6.64,
EW,75.13 +4.67 (+6.63%),4.67,6.63,
INSP,158.20 +9.83 (+6.63%),9.83,6.63,371245.0
MRVL,57.33 +3.56 (+6.62%),3.56,6.62,
ADI,195.23 +12.12 (+6.62%),12.12,6.62,
TXN,162.13 +9.98 (+6.56%),9.98,6.56,
WDC,40.17 +2.47 (+6.55%),2.47,6.55,
NBIS,24.46 +1.50 (+6.53%),1.5,6.53,
ECG,40.97 +2.51 (+6.53%),2.51,6.53,462357.0
LITE,58.77 +3.60 (+6.53%),3.6,6.53,
FN,199.00 +12.18 (+6.52%),12.18,6.52,773885.0
ARM,112.01 +6.85 (+6.51%),6.85,6.51,
U,22.31 +1.36 (+6.49%),1.36,6.49,
LVS,36.61 +2.23 (+6.49%),2.23,6.49,
MDB,173.21 +10.55 (+6.49%),10.55,6.49,
POWI,50.19 +3.03 (+6.42%),3.03,6.42,499838.0
GTLB,45.67 +2.75 (+6.41%),2.75,6.41,
ANET,75.29 +4.53 (+6.40%),4.53,6.4,
RNG,25.01 +1.50 (+6.38%),1.5,6.38,842142.0
CVNA,235.02 +14.08 (+6.37%),14.08,6.37,
TTD,53.27 +3.19 (+6.37%),3.19,6.37,
FUTU,93.89 +5.61 (+6.35%),5.61,6.35,
STX,83.04 +4.95 (+6.34%),4.95,6.34,
ACHR,8.56 +0.51 (+6.34%),0.51,6.34,
HRI,111.45 +6.61 (+6.30%),6.61,6.3,458678.0
WEGZY,8.62 +0.51 (+6.29%),0.51,6.29,47763.0
AVGO,188.15 +11.24 (+6.35%),11.24,6.35,
LRCX,70.90 +4.17 (+6.25%),4.17,6.25,
CNXC,51.11 +3.00 (+6.24%),3.0,6.24,753952.0
CVLT,163.32 +9.58 (+6.23%),9.58,6.23,401329.0
UPST,46.71 +2.73 (+6.21%),2.73,6.21,
CRL,115.76 +6.76 (+6.20%),6.76,6.2,
FJTSY,22.00 +1.28 (+6.18%),1.28,6.18,20932.0
CDNS,281.78 +16.36 (+6.16%),16.36,6.16,
HGTY,9.13 +0.53 (+6.16%),0.53,6.16,119667.0
MU,77.42 +4.49 (+6.16%),4.49,6.16,
APP,267.88 +15.53 (+6.15%),15.53,6.15,
CYTK,40.33 +2.33 (+6.13%),2.33,6.13,
VICR,50.67 +2.92 (+6.12%),2.92,6.12,146602.0
HUBS,600.50 +34.54 (+6.10%),34.54,6.1,705716.0
ZI,8.73 +0.50 (+6.08%),0.5,6.08,
MRUS,44.36 +2.53 (+6.05%),2.53,6.05,979773.0
AMKR,17.39 +0.99 (+6.04%),0.99,6.04,
KKR,113.25 +6.44 (+6.03%),6.44,6.03,
IONQ,28.39 +1.59 (+5.93%),1.59,5.93,
DOCN,29.95 +1.70 (+6.02%),1.7,6.02,
CG,38.79 +2.20 (+6.01%),2.2,6.01,
QRVO,63.51 +3.60 (+6.01%),3.6,6.01,
BHC,5.48 +0.31 (+6.00%),0.31,6.0,
CSL,381.39 +21.57 (+5.99%),21.57,5.99,819354.0
BX,134.55 +7.55 (+5.94%),7.55,5.94,
AEIS,96.92 +5.43 (+5.94%),5.43,5.94,212277.0
ESTC,82.12 +4.58 (+5.91%),4.58,5.91,
CAR,91.39 +5.08 (+5.89%),5.08,5.89,
OLED,125.45 +6.97 (+5.88%),6.97,5.88,548549.0
DELL,94.40 +5.24 (+5.88%),5.24,5.88,
UBER,78.10 +4.33 (+5.87%),4.33,5.87,
SYNA,56.13 +3.11 (+5.87%),3.11,5.87,606880.0
INTR,6.68 +0.37 (+5.86%),0.37,5.86,
EVR,198.25 +10.98 (+5.86%),10.98,5.86,885576.0
DXCM,70.78 +3.92 (+5.86%),3.92,5.86,
GFS,35.04 +1.93 (+5.83%),1.93,5.83,
GEO,29.97 +1.64 (+5.79%),1.64,5.79,
FTAI,101.37 +5.54 (+5.78%),5.54,5.78,
CALX,39.05 +2.13 (+5.77%),2.13,5.77,
FIX,376.21 +20.51 (+5.77%),20.51,5.77,473494.0
CORZ,7.53 +0.41 (+5.76%),0.41,5.76,
SRRK,34.38 +1.86 (+5.72%),1.86,5.72,716558.0
BC,47.85 +2.58 (+5.70%),2.58,5.7,
ASAN,15.98 +0.86 (+5.69%),0.86,5.69,
CRM,264.70 +14.22 (+5.68%),14.22,5.68,
INGM,17.70 +0.95 (+5.67%),0.95,5.67,295959.0
RH,184.35 +9.87 (+5.66%),9.87,5.66,
PSTG,45.13 +2.41 (+5.64%),2.41,5.64,
TER,77.30 +4.12 (+5.63%),4.12,5.63,
PPBI,21.24 +1.13 (+5.62%),1.13,5.62,
AUR,6.81 +0.36 (+5.58%),0.36,5.58,
FORM,28.21 +1.49 (+5.58%),1.49,5.58,520969.0
AA,26.44 +1.39 (+5.55%),1.39,5.55,
POWL,184.34 +9.67 (+5.54%),9.67,5.54,290884.0
NXT,42.35 +2.22 (+5.53%),2.22,5.53,
JBL,146.13 +7.64 (+5.52%),7.64,5.52,
BOOT,102.18 +5.32 (+5.49%),5.32,5.49,
OGN,12.12 +0.63 (+5.48%),0.63,5.48,
TEL,143.52 +7.46 (+5.48%),7.46,5.48,
GLOB,118.35 +6.11 (+5.44%),6.11,5.44,
SFTBY,25.57 +1.32 (+5.44%),1.32,5.44,123759.0
FLS,44.62 +2.30 (+5.43%),2.3,5.43,
LYFT,12.06 +0.62 (+5.42%),0.62,5.42,
HPE,16.18 +0.83 (+5.41%),0.83,5.41,
TEX,36.33 +1.86 (+5.40%),1.86,5.4,573425.0
NET,118.87 +6.07 (+5.38%),6.07,5.38,
IOT,39.22 +2.00 (+5.37%),2.0,5.37,
NEU,606.87 +30.84 (+5.35%),30.84,5.35,45787.0
HIMS,28.14 +1.43 (+5.35%),1.43,5.35,
APO,133.32 +6.77 (+5.35%),6.77,5.35,
WDAY,236.87 +12.00 (+5.34%),12.0,5.34,
DDOG,99.60 +5.02 (+5.31%),5.02,5.31,
CAVA,91.02 +4.57 (+5.29%),4.57,5.29,
BILL,44.82 +2.25 (+5.29%),2.25,5.29,
OLN,22.23 +1.11 (+5.26%),1.11,5.26,
OS,21.27 +1.06 (+5.24%),1.06,5.24,745391.0
RYTM,62.97 +3.13 (+5.23%),3.13,5.23,
PODD,259.38 +12.89 (+5.23%),12.89,5.23,519952.0
CR,149.43 +7.41 (+5.22%),7.41,5.22,591636.0
JOBY,6.48 +0.32 (+5.19%),0.32,5.19,
VSEC,113.70 +5.61 (+5.19%),5.61,5.19,187819.0
FLEX,34.66 +1.71 (+5.19%),1.71,5.19,
SOUHY,8.73 +0.43 (+5.18%),0.43,5.18,55044.0
IPGP,57.94 +2.85 (+5.17%),2.85,5.17,180127.0
CWK,8.96 +0.44 (+5.16%),0.44,5.16,
AGX,148.66 +7.30 (+5.16%),7.3,5.16,210221.0
ROAD,81.16 +3.98 (+5.16%),3.98,5.16,228282.0
OSK,88.71 +4.35 (+5.16%),4.35,5.16,996521.0
RXO,14.09 +0.69 (+5.15%),0.69,5.15,
APO-PA,71.28 +3.48 (+5.13%),3.48,5.13,118606.0
LAZ,39.87 +1.94 (+5.11%),1.94,5.11,
CACC,486.75 +23.66 (+5.11%),23.66,5.11,64579.0
BE,18.14 +0.88 (+5.10%),0.88,5.1,
CE,43.71 +2.12 (+5.10%),2.12,5.1,
TLX,19.22 +0.92 (+5.03%),0.92,5.03,43330.0
PTON,6.28 +0.30 (+5.02%),0.3,5.02,
COOP,116.43 +5.55 (+5.01%),5.55,5.01,983164.0
LAD,292.17 +13.88 (+4.99%),13.88,4.99,480461.0
BNTX,120.54 +5.71 (+4.97%),5.71,4.97,
CSAN,5.51 +0.26 (+4.95%),0.26,4.95,
TPG,46.71 +2.19 (+4.92%),2.19,4.92,
KLAC,689.42 +32.31 (+4.92%),32.31,4.92,
,,,,
